layer,hook_name,correct,total,accuracy
0,blocks.0.hook_resid_post,42,100,0.42
1,blocks.1.hook_resid_post,33,100,0.33
2,blocks.2.hook_resid_post,34,100,0.34
3,blocks.3.hook_resid_post,32,100,0.32
4,blocks.4.hook_resid_post,27,100,0.27
5,blocks.5.hook_resid_post,37,100,0.37
6,blocks.6.hook_resid_post,33,100,0.33
7,blocks.7.hook_resid_post,34,100,0.34
8,blocks.8.hook_resid_post,34,100,0.34
9,blocks.9.hook_resid_post,27,100,0.27
10,blocks.10.hook_resid_post,20,100,0.2
11,blocks.11.hook_resid_post,9,100,0.09
12,blocks.12.hook_resid_post,11,100,0.11
13,blocks.13.hook_resid_post,4,100,0.04
14,blocks.14.hook_resid_post,10,100,0.1
15,blocks.15.hook_resid_post,7,100,0.07
16,blocks.16.hook_resid_post,10,100,0.1
17,blocks.17.hook_resid_post,17,100,0.17
18,blocks.18.hook_resid_post,30,100,0.3
19,blocks.19.hook_resid_post,31,100,0.31
20,blocks.20.hook_resid_post,35,100,0.35
21,blocks.21.hook_resid_post,30,100,0.3
22,blocks.22.hook_resid_post,34,100,0.34
23,blocks.23.hook_resid_post,39,100,0.39
24,blocks.24.hook_resid_post,47,100,0.47
25,blocks.25.hook_resid_post,32,100,0.32
